코드,제형,주성분명칭,분류번호,투여,함량,단위
101304ALQ,LQ,acetaminophen,114,내복,32,mg
101304ASS,SS,acetaminophen,114,내복,32,mg
101305ACH,CH,acetaminophen,114,내복,0.5,g
101305ACS,CS,acetaminophen,114,내복,0.5,g
101305ATB,TB,acetaminophen,114,내복,0.5,g
101306ATB,TB,acetaminophen,114,내복,325,mg
101307ATB,TB,acetaminophen,114,내복,80,mg
101308BIJ,IJ,acetaminophen,114,주사,1,g
101309ATB,TB,acetaminophen,114,내복,0.16,g
101309BIJ,IJ,acetaminophen,114,주사,1,g
101310ASY,SY,acetaminophen,114,내복,400,mg
101311ACS,CS,acetaminophen,114,내복,0.325,g
101330ALQ,LQ,acetaminophen,114,내복,16,g(32mg/mL)
101330ASS,SS,acetaminophen,114,내복,16,g(32mg/mL)
101331ALQ,LQ,acetaminophen,114,내복,32,g(32mg/mL)
101332ASY,SY,acetaminophen,114,내복,120,g(0.4g/g)
101333BIJ,IJ,acetaminophen,114,주사,1,g(10mg/mL)
101334ASS,SS,acetaminophen,114,내복,0.16,g(32mg/mL)
101335BIJ,IJ,acetaminophen,114,주사,0.5,g(10mg/mL)
101336BIJ,IJ,acetaminophen,114,주사,0.75,g(10mg/mL)
101401ATB,TB,acetaminophen(encapsulated),114,내복,0.16,g
101402ATR,TR,acetaminophen encapsulated,114,내복,325,mg
101403ASS,SS,acetaminophen(encapsulated),114,내복,32,mg
101404ATB,TB,acetaminophen(encapsulated),114,내복,0.325,g
101404ATR,TR,acetaminophen(encapsulated),114,내복,0.325,g
101405ATR,TR,acetaminophen(encapsulated),114,내복,0.65,g
101406ATB,TB,acetaminophen(encapsulated),114,내복,80,mg
101407ASS,SS,acetaminophen encapsulated,114,내복,30,mg
101408ATB,TB,acetaminophen encapsulated(as acetaminophen),114,내복,500,mg
101430ATR,TR,acetaminophen(encapsulated),114,내복,0.65,g
101431ASS,SS,acetaminophen(encapsulated),114,내복,1.92,g(32mg/mL)
101432ASS,SS,acetaminophen(encapsulated),114,내복,3.2,g(32mg/mL)
101433ASS,SS,acetaminophen(encapsulated),114,내복,16,g(32mg/mL)
101501ATB,TB,acetazolamide,213,내복,0.25,g
101502BIJ,IJ,acetazolamide sodium (as acetazolamide),213,주사,0.5,g
101601APD,PD,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101601ATB,TB,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101601ATE,TE,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),219,내복,0.5,g
101701COS,OS,acetylcholine chloride,131,외용,20,mg(10mg/mL)
101801ACH,CH,acetylcysteine,222,내복,0.1,g
101801AGN,GN,acetylcysteine,222,내복,100,mg
101802BIJ,IJ,acetylcysteine,222,주사,300,mg
101803AGN,GN,acetylcysteine,222,내복,100,mg
101804ACH,CH,acetylcysteine,222,내복,0.2,g
101804AGN,GN,acetylcysteine,222,내복,200,mg
101804ATB,TB,acetylcysteine,222,내복,200,mg
101805ALQ,LQ,acetylcysteine,222,내복,800,mg
101805CLQ,LQ,acetylcysteine,222,외용,800,mg
101806AGN,GN,acetylcysteine,222,내복,200,mg
101807ATB,TB,acetylcysteine,222,내복,0.6,g
101807BIJ,IJ,acetylcysteine,222,주사,600,mg
101808ASY,SY,acetylcysteine,222,내복,20,mg
101809BIJ,IJ,acetylcysteine,222,주사,"1,000",mg
101810BIJ,IJ,acetylcysteine,222,주사,900,mg
101830AGN,GN,acetylcysteine,222,내복,0.2,g(0.2g/g)
101831BIJ,IJ,acetylcysteine,222,주사,0.3,g(0.1g/mL)
101832BIJ,IJ,acetylcysteine,222,주사,0.3,g(0.15g/mL)
101833BIJ,IJ,acetylcysteine,222,주사,0.6,g(0.1g/mL)
101834CLQ,LQ,acetylcysteine,222,외용,0.8,g(0.2g/mL)
101835BIJ,IJ,acetylcysteine,222,주사,0.9,g(0.1g/mL)
101836BIJ,IJ,acetylcysteine,222,주사,1,g(0.1g/mL)
101837ASY,SY,acetylcysteine,222,내복,1,g(20mg/mL)
101838ASY,SY,acetylcysteine,222,내복,2,g(20mg/mL)
101839ASY,SY,acetylcysteine,222,내복,10,g(20mg/mL)
101840ASY,SY,acetylcysteine,222,내복,11,g(20mg/mL)
101841ASY,SY,acetylcysteine,222,내복,12,g(20mg/mL)
101842AGN,GN,acetylcysteine,222,내복,20,g(0.2g/g)
101843AGN,GN,acetylcysteine,222,내복,40,g(0.2g/g)
101844AGN,GN,acetylcysteine,222,내복,60,g(0.2g/g)
101901ATB,TB,acetylcysteine glycine thiamphenicol,618,내복,250,mg
102001ATB,TB,acetylkitasamycin,614,내복,400,mg
102101ATB,TB,acetylspiramycin,614,내복,200,mg
102102ATB,TB,acetylspiramycin,614,내복,500,mg
102201ACH,CH,acipimox,218,내복,250,mg
102301ACH,CH,acitretin,311,내복,10,mg
102302ACH,CH,acitretin,311,내복,25,mg
102401BIJ,IJ,aclarubicin HCl,617,주사,20,mg
102501ACH,CH,aclatonium napadisilate,123,내복,25,mg
102501ATB,TB,aclatonium napadisilate,123,내복,25,mg
102502ACH,CH,aclatonium napadisilate,123,내복,50,mg
102502ATB,TB,aclatonium napadisilate,123,내복,50,mg
102601ACH,CH,acrivastine,141,내복,8,mg
102701ASS,SS,activated charcoal,799,내복,200,mg
102702ACH,CH,activated charcoal,799,내복,0.2,g
102703AGN,GN,activated charcoal,799,내복,900,mg
102704APD,PD,activated charcoal,799,내복,1,g
102705ATB,TB,activated charcoal,239,내복,300,mg
102706BIJ,IJ,activated charcoal,799,주사,120,mg
102730ASS,SS,activated charcoal,799,내복,50,g(0.2g/mL)
102801BIJ,IJ,actovegin,419,주사,1,ml
102802BIJ,IJ,actovegin,419,주사,2,ml
102803CCM,CM,actovegin,419,외용,0.01,ml
102804BIJ,IJ,actovegin,419,주사,0.4,ml
102901ASS,SS,acyclovir,629,내복,160,mg
102901ASY,SY,acyclovir,629,내복,160,mg
102902BIJ,IJ,acyclovir,629,주사,250,mg
102903COO,OO,acyclovir,131,외용,30,mg
102904ACH,CH,acyclovir,629,내복,200,mg
102904ATB,TB,acyclovir,629,내복,0.2,g
102905BIJ,IJ,acyclovir,629,주사,0.5,g
102906CCM,CM,acyclovir,269,외용,50,mg
102906COM,OM,acyclovir,269,외용,50,mg
102907ATB,TB,acyclovir,629,내복,0.4,g
102908ASS,SS,acyclovir,629,내복,40,mg
102909ATB,TB,acyclovir,629,내복,0.8,g
102910ASS,SS,acyclovir,629,내복,80,mg
102910ASY,SY,acyclovir,629,내복,80,mg
102930CCM,CM,acyclovir,269,외용,0.1,g(50mg/g)
102931COO,OO,acyclovir,131,외용,0.105,g(30mg/g)
102932COO,OO,acyclovir,131,외용,0.135,g(30mg/g)
102933CCM,CM,acyclovir,269,외용,0.15,g(50mg/g)
102934BIJ,IJ,acyclovir,629,주사,0.25,g(25mg/mL)
102935CCM,CM,acyclovir,269,외용,0.25,g(50mg/g)
102935COM,OM,acyclovir,269,외용,0.25,g(50mg/g)
102936CCM,CM,acyclovir,269,외용,0.35,g(50mg/g)
102937CCM,CM,acyclovir,269,외용,0.5,g(50mg/g)
102937COM,OM,acyclovir,269,외용,0.5,g(50mg/g)
102938ASY,SY,acyclovir,629,내복,1.2,g(80mg/mL)
102940ASY,SY,acyclovir,629,내복,2.4,g(80mg/mL)
102941CCM,CM,acyclovir,269,외용,12,g(50mg/g)
102942ASY,SY,acyclovir,629,내복,12,g(80mg/mL)
102943CCM,CM,acyclovir,269,외용,22.5,g(50mg/g)
102944ASY,SY,acyclovir,629,내복,24,g(0.16g/mL)
102945CCM,CM,acyclovir,269,외용,25,g(50mg/g)
102946ATC,TC,acyclovir,269,내복,50,mg/정
103001BIJ,IJ,adenosine,212,주사,6,mg
103002BIJ,IJ,adenosine,212,주사,90,mg
103030BIJ,IJ,adenosine,219,주사,6,mg(3mg/mL)
103031BIJ,IJ,adenosine,219,주사,90,mg(3mg/mL)
103101ATE,TE,adenosine triphosphate,399,내복,20,mg
103201BIJ,IJ,adenosine triphosphate disodium,399,주사,20,mg(10mg/mL)
103202BIJ,IJ,adenosine triphosphate disodium,399,주사,21.96,mg
103301BIJ,IJ,s-adenosyl-l-methionine sulfate-p-toluene sulfonate (as s-adenosyl-l-methionine),399,주사,0.1,g
103401CCM,CM,alclometasone dipropionate,264,외용,0.5,mg
103401CLT,LT,alclometasone dipropionate,264,외용,0.5,mg
103402CCM,CM,alclometasone dipropionate,264,외용,1,mg
103402COM,OM,alclometasone dipropionate,264,외용,1,mg
103430CCM,CM,alclometasone dipropionate,264,외용,0.5,mg(0.5mg/g)
103431CCM,CM,alclometasone dipropionate,264,외용,5,mg(0.5mg/g)
103431CLT,LT,alclometasone dipropionate,264,외용,5,mg(0.5mg/g)
103432CCM,CM,alclometasone dipropionate,264,외용,10,mg(1mg/g)
103433CCM,CM,alclometasone dipropionate,264,외용,0.225,g(0.5mg/g)
103501ATB,TB,adrenochrome monoaminoguanidine methanesulfonate,332,내복,30,mg
103502ATB,TB,adrenochrome monoaminoguanidine methanesulfonate,332,내복,50,mg
103601BIJ,IJ,aesalus hippocastanum L. leaves ext.,429,주사,32,mg
103701ATB,TB,aescin,429,내복,20,mg
103702BIJ,IJ,aescin,429,주사,5.1,mg
103801COM,OM,aesculus hippocastanum L. ext.,429,외용,52,mg
103802COM,OM,aesculus hippocastanum L. ext.,429,외용,42.6,mg
103901BIJ,IJ,aesculus hippocastanum L. leaves ext.,429,주사,16,mg
103902BIJ,IJ,aesculus hippocastanum L. leaves ext.,429,주사,6.4,mg
104001ATB,TB,aesculus hippocastanum L. seeds ext.,429,내복,110,mg
104002ACH,CH,aesculus hippocastanum L. seeds ext.,429,내복,25,mg
104002ATB,TB,aesculus hippocastanum L. seeds ext.,429,내복,25,mg
104003ACS,CS,aesculus hippocastanum L. seeds ext.,429,내복,40,mg
104003ATB,TB,aesculus hippocastanum L. seeds ext.,429,내복,40,mg
104004ACH,CH,aesculus hippocastanum L. seeds ext.,429,내복,50,mg
104004ATB,TB,aesculus hippocastanum L. seeds ext.,429,내복,50,mg
104005ACR,CR,aesculus hippocastanum L. seeds ext.,429,내복,265,mg
104101ATB,TB,afloqualone,119,내복,20,mg
104201ATB,TB,alacepril,214,내복,25,mg
104202ATB,TB,alacepril,214,내복,50,mg
104301ATB,TB,albendazol,642,내복,0.2,g
104302ASY,SY,albendazol,642,내복,20,mg
104303ATB,TB,albendazol,642,내복,0.4,g
104401CSP,SP,albotyl,259,외용,180,mg
104501BIJ,IJ,aldesleukin(rhIL-2),421,주사,18,MI.U
104601ACS,CS,alfacalcidol,311,내복,0.5,㎍
104601ATB,TB,alfacalcidol,311,내복,0.5,㎍
104602ACS,CS,alfacalcidol,311,내복,1,㎍
104603ACS,CS,alfacalcidol,311,내복,0.25,㎍
104701BIJ,IJ,alfentanil HCl,821,주사,1.088,mg
104702BIJ,IJ,alfentanil HCl,821,주사,10.88,mg
104703BIJ,IJ,alfentanil HCl,821,주사,2.72,mg
104704BIJ,IJ,alfentanil HCl,821,주사,5.44,mg
104730BIJ,IJ,alfentanil hydrochloride (as alfentanil),821,주사,1,mg(0.5mg/mL)
104731BIJ,IJ,alfentanil hydrochloride (as alfentanil),821,주사,2.5,mg(0.5mg/mL)
104732BIJ,IJ,alfentanil hydrochloride (as alfentanil),821,주사,5,mg(0.5mg/mL)
104801ATB,TB,alfuzosin HCl,259,내복,2.5,mg
104802ATR,TR,alfuzosin HCl,259,내복,5,mg
104803ATR,TR,alfuzosin hydrochloride,259,내복,10,mg
104901AGN,GN,alibendol,239,내복,100,mg
104901ATB,TB,alibendol,239,내복,0.1,g
104902AGN,GN,alibendol,239,내복,50,mg
105001ATB,TB,allopurinol,394,내복,0.1,g
105002ATB,TB,allopurinol,394,내복,200,mg
105003ATB,TB,allopurinol,394,내복,300,mg
105101ATB,TB,allylestrenol,247,내복,25,mg
105201ASS,SS,almagate,234,내복,1.5,g(0.1g/mL)
105202APD,PD,almagate,234,내복,1,g
105202ASS,SS,almagate,234,내복,1,g
105202ATB,TB,almagate,234,내복,1,g
105203ATB,TB,almagate,234,내복,0.5,g
105230ASS,SS,almagate,234,내복,1,g(66.667mg/mL)
105301ATB,TB,alminoprofen,114,내복,150,mg
105302ATB,TB,alminoprofen,114,내복,300,mg
105401ATB,TB,aloxiporin,114,내복,600,mg
105501ATB,TB,alprazolam,117,내복,1,mg
105501ATR,TR,alprazolam,117,내복,1,mg
105502ATB,TB,alprazolam,117,내복,0.25,mg
105503ATB,TB,alprazolam,117,내복,2,mg
105503ATR,TR,alprazolam,117,내복,2,mg
105504ATB,TB,alprazolam,117,내복,0.4,mg
105505ATB,TB,alprazolam,117,내복,0.5,mg
105505ATR,TR,alprazolam,117,내복,0.5,mg
105506ATB,TB,alprazolam,117,내복,800,㎍
105507ATB,TB,alprazolam,117,내복,0.125,mg
105601BIJ,IJ,alprostadil,219,주사,10,㎍
105602BIJ,IJ,alprostadil,219,주사,500,㎍
105602CSP,SP,alprostadil,219,외용,500,㎍
105603BIJ,IJ,alprostadil,219,주사,5,㎍
105604BIJ,IJ,alprostadil,219,주사,20,㎍
105605CSP,SP,alprostadil,219,외용,125,㎍
105606CSP,SP,alprostadil,219,외용,250,㎍
105607CLQ,LQ,alprostadil,219,외용,"1,000",㎍
105607CSP,SP,alprostadil,219,외용,"1,000",㎍
105608CCM,CM,alprostadil,219,외용,4,mg
105611BIJ,IJ,alprostadil,219,주사,40,㎍
105630BIJ,IJ,alprostadil,219,주사,5,μg(5μg/mL)
105631BIJ,IJ,alprostadil,219,주사,10,μg(5μg/mL)
105701BIJ,IJ,alprostadil α-cyclodextrin,219,주사,0.6667,mg
105801ASS,SS,aluminum hydroxide gel,234,내복,1.01,g
105802ASS,SS,aluminum hydroxide gel,234,내복,1,g
105803BIJ,IJ,aluminum hydroxide gel,341,주사,441,g
105804BIJ,IJ,aluminum hydroxide gel,341,주사,882,g
105901ATB,TB,aluminum hydroxide gel(dried),234,내복,300,mg
105902ATB,TB,aluminum hydroxide gel(dried) (as aluminum hydroxide),234,내복,0.3,g
105903APD,PD,aluminum hydroxide gel(dried),234,내복,500,mg
106001ASS,SS,aluminum phosphate(colloidal),234,내복,12.38,g
106002ASS,SS,aluminum phosphate(colloidal),234,내복,11,g
106003ASS,SS,aluminum phosphate(dried),234,내복,2.6,g
106003ASY,SY,aluminum phosphate (dried),234,내복,2.6,g
106101ACH,CH,amantadine hydrochloride,629,내복,0.1,g
106201ATB,TB,amantadine sulfate,119,내복,0.1,g
106201BIJ,IJ,amantadine sulfate,119,주사,200,mg
106230BIJ,IJ,amantadine sulfate,119,주사,0.2,g(0.4mg/mL)
106301ACH,CH,ambroxol HCl,222,내복,30,mg
106301ATB,TB,ambroxol hydrochloride,222,내복,30,mg
106302BIJ,IJ,ambroxol hydrochloride,222,주사,15,mg
106303ASY,SY,ambroxol hydrochloride,222,내복,3,mg
106304ACH,CH,ambroxol HCl,222,내복,75,mg
106304ACR,CR,ambroxol hydrochloride,222,내복,75,mg
106305ALQ,LQ,ambroxol HCl,222,내복,7.5,mg
106305CSI,SI,ambroxol hydrochloride,222,외용,7.5,mg
106306ATB,TB,ambroxol hydrochloride,222,내복,20,mg
106306ATO,TO,ambroxol hydrochloride,222,내복,20,mg
106307BIJ,IJ,ambroxol HCl,222,주사,"1,000",mg
106308ASY,SY,ambroxol hydrochloride,222,내복,6,mg
106330BIJ,IJ,ambroxol hydrochloride,222,주사,15,mg(7.5mg/mL)
106331ASY,SY,ambroxol hydrochloride,222,내복,1.5,g(3mg/mL)
106332ASY,SY,ambroxol hydrochloride,222,내복,3,g(3mg/mL)
106401CCM,CM,amcinonide,269,외용,1,mg
106401COM,OM,amcinonide,269,외용,1,mg
106430CCM,CM,amcinonide,264,외용,15,mg(1mg/g)
106501ATB,TB,amezinium methylsulfate,219,내복,10,mg
106601ACH,CH,amfenac sodium,114,내복,50,mg
106701BIJ,IJ,amifostine,339,주사,500,mg
106702BIJ,IJ,amifostine,339,주사,375,mg
106801BIJ,IJ,amikacin sulfate,612,주사,100,mg
106802BIJ,IJ,amikacin sulfate,612,주사,1,g
106803BIJ,IJ,amikacin sulfate,612,주사,0.2,g
106804BIJ,IJ,amikacin sulfate,612,주사,250,mg
106805BIJ,IJ,amikacin sulfate,612,주사,500,mg
106806CCM,CM,amikacin sulfate,619,외용,50,mg
106830BIJ,IJ,amikacin,612,주사,0.1,g(50mg/mL)
106831BIJ,IJ,amikacin sulfate,612,주사,0.25,g(0.125g/mL)
106832BIJ,IJ,amikacin sulfate,612,주사,0.25,g(5mg/mL)
106833BIJ,IJ,amikacin sulfate,612,주사,0.5,g(0.25g/mL)
106834BIJ,IJ,amikacin sulfate,612,주사,0.5,g(5mg/mL)
106835BIJ,IJ,amikacin,613,주사,0.25,g(0.125g/mL)
106836BIJ,IJ,amikacin,612,주사,0.5,g(0.25g/mL)
106901ATB,TB,amiloride hydrochloride,213,내복,5,mg
107001ATB,TB,amineptine HCl,117,내복,100,mg
107101BIJ,IJ,amino acids,325,주사,0.75,%
107102BIJ,IJ,amino acids,325,주사,1.5,%
107103BIJ,IJ,amino acids,325,주사,2,%
107104BIJ,IJ,amino acids,325,주사,2.5,%
107105BIJ,IJ,amino acids,325,주사,3,%
107106BIJ,IJ,amino acids,325,주사,4,%
107107BIJ,IJ,amino acids,325,주사,4.5,%
107108BIJ,IJ,amino acids,325,주사,5,%
107109BIJ,IJ,amino acids,325,주사,5.5,%
107110BIJ,IJ,amino acids,325,주사,6,%
107111BIJ,IJ,amino acids,325,주사,6.1,%
107112BIJ,IJ,amino acids,325,주사,6.5,%
107113BIJ,IJ,amino acids,325,주사,7,%
107114BIJ,IJ,amino acids,325,주사,7.5,%
107115BIJ,IJ,amino acids,325,주사,8,%
107116BIJ,IJ,amino acids,325,주사,8.5,%
107117BIJ,IJ,amino acids,325,주사,10,%
107118BIJ,IJ,amino acids,325,주사,10.5,%
107119BIJ,IJ,amino acids,325,주사,12,%
107120BIJ,IJ,amino acids,325,주사,12.5,%
107121BIJ,IJ,amino acids,325,주사,12.8,%
107122BIJ,IJ,amino acids,325,주사,13,%
107123BIJ,IJ,amino acids,325,주사,15,%
107124BIJ,IJ,amino acids,325,주사,11.5,%
107125BIJ,IJ,amino acids,325,주사,3.5,%
107127BIJ,IJ,amino acids,325,주사,0.14,
107131BIJ,IJ,amino acids(2.5%) ,325,주사,12.5,g/100ml
107132BIJ,IJ,amino acids(2.5%),325,주사,25,g(25mg/mL)
107133BIJ,IJ,amino acids(3%),325,주사,6,g(30mg/mL)
107134BIJ,IJ,amino acids(3%),325,주사,15,g(30mg/mL)
107135BIJ,IJ,amino acids(4%),325,주사,4,g/100ml
107136BIJ,IJ,amino acids(4%),325,주사,10,g/250ml
107137BIJ,IJ,amino acids(4%),325,주사,20,g(40mg/mL)
107138BIJ,IJ,amino acids(4.5%),325,주사,11.25,g(45mg/mL)
107139BIJ,IJ,amino acids(5%),325,주사,12.5,g(50mg/mL)
107140BIJ,IJ,amino acids(5%),325,주사,25,g(50mg/mL)
107141BIJ,IJ,amino acids(5.5%),325,주사,13.75,g(55mg/mL)
107142BIJ,IJ,amino acids(6%),325,주사,6,g(60mg/mL)
107143BIJ,IJ,amino acids(6%),325,주사,12,g(60mg/mL)
107144BIJ,IJ,amino acids(6%),325,주사,15,g(60mg/mL)
107145BIJ,IJ,amino acids(6%),325,주사,30,g(60mg/mL)
107146BIJ,IJ,amino acids(6.1%),325,주사,12.2,g(61mg/mL)
107147BIJ,IJ,amino acids(6.1%),325,주사,15.25,g(61mg/mL)
107148BIJ,IJ,amino acids(7%),325,주사,17.5,g(70mg/mL)
107149BIJ,IJ,amino acids(7%),325,주사,35,g(70mg/mL)
107150BIJ,IJ,amino acids(7.5%),325,주사,15,g(75mg/mL)
107151BIJ,IJ,amino acids(7.5%),325,주사,18.75,g(75mg/mL)
107152BIJ,IJ,amino acids(8%),325,주사,16,g(80mg/mL)
107153BIJ,IJ,amino acids(8%),325,주사,20,g(80mg/mL)
107154BIJ,IJ,amino acids(8%),325,주사,40,g(80mg/mL)
107155BIJ,IJ,amino acids(8.5%),325,주사,21.25,g(85mg/mL)
107156BIJ,IJ,amino acids(8.5%),325,주사,42.5,g(85mg/mL)
107157BIJ,IJ,amino acids(10%),325,주사,10,g(0.1g/mL)
107158BIJ,IJ,amino acids(10%),325,주사,20,g(0.1g/mL)
107159BIJ,IJ,amino acids(10%),325,주사,25,g(0.1g/mL)
107160BIJ,IJ,amino acids(10%),325,주사,50,g(0.1g/mL)
107161BIJ,IJ,amino acids(10.5%),325,주사,26.25,g(0.105g/mL)
107162BIJ,IJ,amino acids(10.5%),325,주사,52.5,g(0.105g/mL)
107163BIJ,IJ,amino acids(11.5%),325,주사,28.75,g(0.115g/mL)
107164BIJ,IJ,amino acids(12%),325,주사,60,g(0.12g/mL)
107165BIJ,IJ,amino acids(12.5%),325,주사,31.25,g(0.125g/mL)
107166BIJ,IJ,amino acids(12.5%),325,주사,62.55,g(0.125g/mL)
107167BIJ,IJ,amino acids(12.8%),325,주사,32,g(0.128g/mL)
107168BIJ,IJ,amino acids(12.8%),325,주사,64,g(0.128g/mL)
107169BIJ,IJ,amino acids(13%),325,주사,32.5,g(0.13g/mL)
107170BIJ,IJ,amino acids(13%),325,주사,65,g(0.13g/mL)
107171BIJ,IJ,amino acids(10.5%),325,주사,21,g(0.105g/mL)
107172BIJ,IJ,amino acids(7.5%),325,주사,7.5,g(75mg/mL)
107173BIJ,IJ,amino acids(7.5%),325,주사,37.5,g(75mg/mL)
107174BIJ,IJ,amino acids(5%),325,주사,5,g(50mg/mL)
107175BIJ,IJ,amino acids(5%),325,주사,10,g(50mg/mL)
107176BIJ,IJ,amino acids(5%),325,주사,20,g(50mg/mL)
107177BIJ,IJ,amino acids(8%),325,주사,8,g(80mg/mL)
107201ATB,TB,aminocaproic acid,332,내복,0.5,g
107202BIJ,IJ,aminocaproic acid,332,주사,1,g
107301ATB,TB,aminophylline hydrate,211,내복,0.1,g
107301ATR,TR,aminophylline hydrate,211,내복,0.1,g
107302BIJ,IJ,aminophylline,211,주사,250,mg
107303ATR,TR,aminophylline hydrate,211,내복,0.225,g
107330BIJ,IJ,aminophylline,211,주사,0.25,g(25mg/mL)
107401ATB,TB,amiodarone hydrochloride,212,내복,0.2,g
107402BIJ,IJ,amiodarone HCl,212,주사,150,mg
107430BIJ,IJ,amiodarone hydrochloride,212,주사,0.15,g(50mg/mL)
107501ACR,CR,amitriptyline HCl,117,내복,10,mg
107501ATB,TB,amitriptyline hydrochloride,117,내복,10,mg
107502ACR,CR,amitriptyline HCl,117,내복,25,mg
107502ATB,TB,amitriptyline hydrochloride,117,내복,25,mg
107503ACR,CR,amitriptyline HCl,117,내복,50,mg
107504ATB,TB,amitriptyline hydrochloride,117,내복,5,mg
107601ATB,TB,amlodipine besylate (as amlodipine),219,내복,5,mg
107601ATD,TD,amlodipine besylate (as amlodipine),214,내복,5,mg
107602ATB,TB,amlodipine besylate (as amlodipine),214,내복,10,mg
107602ATD,TD,amlodipine besylate (as amlodipine),214,내복,10,mg
107603ATB,TB,amlodipine besylate (as amlodipine),214,내복,2.5,mg
107701CLT,LT,ammonium lactate,264,외용,200,mg
107702CCM,CM,ammonium lactate solution,264,외용,120,mg
107730CLT,LT,ammonium lactate,264,외용,45,g(0.2g/g)
107731CLT,LT,ammonium lactate,264,외용,40,g(0.2g/g)
107801CLQ,LQ,amorolfine (HCl),265,외용,125,mg
107802CLQ,LQ,amorolfine (HCl),265,외용,50,mg
107803CCM,CM,amorolfine (HCl),265,외용,2.788,mg
107830CCM,CM,amorolfine hydrochloride,265,외용,55.76,mg(2.788mg/g)
107831CLQ,LQ,amorolfine hydrochloride (as amorolfine),265,외용,0.125,g(50mg/mL)
107832CLQ,LQ,amorolfine hydrochloride (as amorolfine),265,외용,0.15,g(50mg/mL)
107833CLQ,LQ,amorolfine hydrochloride (as amorolfine),265,외용,0.25,g(50mg/mL)
107901ATB,TB,amosulalol hydrochloride,214,내복,10,mg
107902ATB,TB,amosulalol hydrochloride,214,내복,20,mg
108001ATB,TB,amoxapine,117,내복,0.1,g
108002ATB,TB,amoxapine,117,내복,50,mg
108101ACH,CH,amoxicillin,618,내복,0.25,g
108101ATB,TB,amoxicillin,618,내복,0.25,g
108102ASY,SY,amoxicillin,618,내복,25,mg
108103ACH,CH,amoxicillin,618,내복,0.5,g
108103ATB,TB,amoxicillin,618,내복,0.5,g
108130ASY,SY,amoxicillin,618,내복,12.5,g(25mg/mL)
108201BIJ,IJ,amoxicillin sodium (as amoxicillin),618,주사,1,g
108202BIJ,IJ,amoxicillin sodium,618,주사,250,mg
108203BIJ,IJ,amoxicillin sodium (as amoxicillin),618,주사,0.5,g
108301ATB,TB,amphotericin B,616,내복,100,mg
108302BIJ,IJ,amphotericin B,616,주사,50,mg
108401BIJ,IJ,amphotericin B(colloidal),616,주사,0.1,g
108402BIJ,IJ,amphotericin B (colloidal),616,주사,50,mg
108501BIJ,IJ,amphotericin B (liposomal),616,주사,50,mg
108601ACH,CH,ampicillin sodium,618,내복,250,mg
108601BIJ,IJ,ampicillin sodium,618,주사,250,mg
108602ASY,SY,ampicillin sodium,618,내복,25,mg
108603ACH,CH,ampicillin sodium,618,내복,500,mg
108603BIJ,IJ,ampicillin sodium,618,주사,0.5,g
